asset_id,address,x,y,asset_type,insured_value_dkk
A-200975,Lindevej 1,545861.72,6190866.16,industrial,14707000
A-206420,Noerregade 178,635344.73,6190443.83,residential,34015000
A-209714,Soendergade 105,616918.32,6133787.91,industrial,28960000
A-202712,Stationsvej 219,582550.95,6378707.46,commercial,35978000
A-202718,Skovvej 155,563179.63,6235890.93,residential,3484000
A-212807,Stationsvej 173,727575.51,6203706.34,residential,35683000
A-202175,Soendergade 227,541629.78,6226092.64,public,31577000
A-209099,Lindevej 85,525292.76,6263460.78,industrial,2731000
A-210374,Toftevej 13,717505.38,6166405.68,residential,24949000
A-211775,Toftevej 10,700302.43,6200958.31,residential,4841000
A-209591,Moellevej 67,673145.21,6190057.76,residential,25391000
A-205958,Moellevej 212,704672.43,6206132.09,agricultural,26963000
A-209954,Aavej 115,706509.39,6170451.10,public,17138000
A-209183,Birkevej 214,499018.44,6200687.10,residential,36666000
A-201050,Skovvej 102,565650.12,6224461.72,residential,31685000
A-201398,Toftevej 1,608300.21,6150096.48,public,35532000
A-210680,Vestergade 239,589947.61,6363861.13,commercial,22071000
A-200591,Stationsvej 25,703413.51,6175296.57,industrial,37112000
A-206282,Birkevej 194,707611.29,6207868.07,residential,10873000
A-209843,Skovvej 146,482255.31,6211457.57,residential,37154000
A-210482,Birkevej 159,550818.96,6196753.56,residential,31790000
A-214700,Toftevej 90,487531.08,6235546.26,residential,33278000
A-206663,Soendergade 37,689505.66,6183866.75,agricultural,33063000
A-214559,Vestergade 167,515699.49,6376039.07,residential,39343000
A-211442,Vestergade 40,494012.83,6104521.61,agricultural,17915000
A-208556,Bakkevej 21,511206.47,6254552.20,residential,3063000
A-203684,Strandvej 124,581150.66,6233881.21,public,16963000
A-207440,Skovvej 19,609942.68,6116590.42,commercial,35082000
A-210806,Toftevej 86,572715.13,6198448.06,commercial,4447000
A-209120,Skovvej 97,708674.99,6171993.58,industrial,25524000
A-206621,Moellevej 64,576545.54,6248351.33,commercial,22256000
A-209021,Moellevej 198,658266.32,6170453.15,agricultural,23424000
A-213185,Aavej 19,721526.56,6215188.01,residential,25267000
A-204200,Toftevej 113,674933.07,6194937.01,residential,40634000
A-212033,Toftevej 73,614522.73,6131477.81,industrial,12780000
A-200738,Noerregade 115,725783.58,6202752.15,public,9101000
A-214352,Egevej 19,549816.46,6201078.15,residential,25807000
A-210140,Moellevej 29,472242.11,6133089.75,industrial,19602000
A-213011,Moellevej 97,650217.08,6133831.15,residential,22038000
A-211787,Engvej 186,649681.75,6152995.20,residential,32515000
A-201047,Noerregade 211,676394.86,6171869.81,residential,12808000
