station_id,observed_at,precip_mm,temp_c
DK1042,2026-06-05T23:00:00Z,2.1,11.2
DK1672,2025-09-07T05:00:00Z,0.0,17.1
DK1511,2026-06-09T17:00:00Z,0.0,17.2
DK1651,2025-01-19T11:00:00Z,0.0,5.7
DK1350,2025-05-24T23:00:00Z,0.0,9.2
DK1147,2025-04-30T11:00:00Z,0.0,10.3
DK1469,2025-08-20T23:00:00Z,0.0,11.3
DK1378,2026-01-07T11:00:00Z,0.0,4.8
DK1483,2025-09-08T05:00:00Z,0.0,9.9
DK1035,2026-02-24T23:00:00Z,0.1,-1.9
DK1490,2025-09-22T17:00:00Z,0.0,9.8
DK1196,2025-05-11T23:00:00Z,0.6,12.1
DK1595,2025-01-04T17:00:00Z,0.0,-1.2
DK1525,2025-06-16T11:00:00Z,0.0,14.9
DK1679,2026-01-11T17:00:00Z,-999.0,-1.5
DK1112,2025-12-20T17:00:00Z,8.9,8.7
DK1714,2025-08-13T17:00:00Z,7.6,16.5
DK1294,2026-05-03T11:00:00Z,0.0,14.1
DK1819,2026-04-11T11:00:00Z,0.0,14.2
DK1532,2025-08-02T11:00:00Z,2.8,24.0
DK1063,2025-02-10T17:00:00Z,0.0,-1.9
DK1651,2025-12-16T05:00:00Z,0.6,-0.9
DK1203,2025-08-11T05:00:00Z,0.0,18.2
DK1749,2025-03-20T11:00:00Z,10.3,8.3
DK1336,2025-01-21T05:00:00Z,1.3,-3.6
DK1007,2025-02-13T05:00:00Z,0.4,-0.1
DK1371,2025-10-14T23:00:00Z,3.5,9.7
DK1749,2025-03-14T05:00:00Z,0.1,4.8
DK1056,2026-04-18T23:00:00Z,1.5,11.4
DK1035,2025-03-11T23:00:00Z,0.0,2.3
DK1203,2025-06-20T05:00:00Z,-999.0,19.3
DK1238,2025-03-24T23:00:00Z,0.2,5.5
DK1798,2026-05-09T23:00:00Z,0.0,8.8
DK1826,2025-12-14T23:00:00Z,0.0,-2.1
DK1532,2026-02-07T23:00:00Z,8.7,-2.1
DK1553,2025-09-16T17:00:00Z,0.0,15.4
DK1042,2025-11-15T23:00:00Z,0.0,5.5
DK1231,2026-02-25T23:00:00Z,1.1,3.6
DK1637,2025-06-11T23:00:00Z,0.0,7.2
DK1210,2025-03-31T05:00:00Z,0.0,6.4
DK1245,2026-02-21T17:00:00Z,1.1,4.9
DK1777,2025-02-12T17:00:00Z,6.4,2.2
DK1280,2025-03-12T23:00:00Z,0.0,2.9
DK1301,2025-01-15T11:00:00Z,0.0,2.2
DK1833,2026-01-14T17:00:00Z,0.0,0.0
DK1035,2026-04-21T05:00:00Z,6.7,7.9
DK1014,2026-05-17T11:00:00Z,0.0,12.6
DK1182,2026-04-09T05:00:00Z,0.0,8.2
DK1364,2025-01-02T23:00:00Z,0.0,0.3
DK1035,2025-03-29T11:00:00Z,0.0,13.7
DK1287,2026-06-01T17:00:00Z,0.0,13.8
DK1644,2025-03-01T23:00:00Z,13.2,-0.4
DK1350,2025-06-30T05:00:00Z,3.5,19.9
DK1189,2025-10-03T05:00:00Z,0.0,10.0
DK1007,2025-05-10T23:00:00Z,0.0,7.0
DK1588,2025-02-20T17:00:00Z,0.0,-0.4
DK1266,2025-07-25T11:00:00Z,3.2,19.7
DK1609,2025-01-25T11:00:00Z,0.0,2.8
DK1609,2025-03-05T17:00:00Z,0.0,-0.2
DK1791,2025-02-27T17:00:00Z,1.2,2.3
DK1147,2025-05-19T11:00:00Z,0.0,19.3
DK1511,2025-05-24T05:00:00Z,0.0,14.4
DK1756,2026-04-30T17:00:00Z,-999.0,8.9
DK1049,2025-09-17T11:00:00Z,0.7,13.0
DK1560,2026-03-24T23:00:00Z,0.0,4.1
DK1546,2026-04-23T17:00:00Z,0.0,9.9
DK1266,2025-11-16T23:00:00Z,14.1,4.5
DK1791,2025-07-27T05:00:00Z,0.0,16.4
DK1000,2025-11-13T17:00:00Z,2.0,4.6
DK1742,2025-09-01T17:00:00Z,0.0,10.9
DK1357,2025-07-29T05:00:00Z,0.0,16.5
DK1224,2025-08-12T17:00:00Z,0.0,17.8
DK1518,2025-04-09T17:00:00Z,0.0,6.7
DK1483,2026-04-21T17:00:00Z,0.0,11.2
DK1371,2026-02-27T23:00:00Z,10.5,-2.7
DK1308,2025-03-30T05:00:00Z,0.0,3.1
DK1308,2025-11-19T17:00:00Z,6.8,2.7
DK1616,2025-12-22T05:00:00Z,0.0,0.6
DK1266,2026-01-24T17:00:00Z,3.0,-0.6
DK1406,2026-03-03T23:00:00Z,0.0,-1.1
DK1301,2026-05-15T05:00:00Z,0.0,13.9
DK1826,2025-10-24T23:00:00Z,0.0,7.0
DK1203,2025-08-21T23:00:00Z,11.6,15.1
DK1175,2025-10-15T11:00:00Z,4.2,13.4
DK1609,2026-05-07T11:00:00Z,1.7,11.1
DK1399,2025-05-25T05:00:00Z,0.0,12.7
DK1560,2026-04-07T17:00:00Z,0.2,1.1
DK1273,2025-05-14T23:00:00Z,0.0,9.9
DK1070,2025-09-05T05:00:00Z,-999.0,13.8
DK1035,2025-11-30T17:00:00Z,3.3,4.8
DK1728,2025-06-18T11:00:00Z,0.0,19.1
DK1154,2026-04-08T23:00:00Z,0.0,3.2
DK1693,2026-01-22T17:00:00Z,0.3,-0.4
DK1168,2026-06-20T11:00:00Z,2.8,23.6
DK1567,2026-05-13T23:00:00Z,0.0,9.8
DK1700,2026-06-11T05:00:00Z,0.0,19.0
DK1483,2026-03-19T17:00:00Z,0.0,3.3
DK1245,2025-12-14T05:00:00Z,0.0,2.9
DK1098,2025-03-10T05:00:00Z,0.0,-0.1
DK1014,2025-05-06T11:00:00Z,0.0,12.7
DK1063,2026-02-11T17:00:00Z,0.2,-2.4
DK1567,2025-04-22T17:00:00Z,0.1,9.5
DK1315,2026-01-31T23:00:00Z,0.0,-5.1
DK1133,2026-02-01T23:00:00Z,0.0,0.8
DK1385,2025-09-29T23:00:00Z,6.1,12.2
DK1427,2026-02-17T23:00:00Z,0.0,-5.9
DK1042,2026-05-14T05:00:00Z,0.9,13.5
DK1602,2026-01-02T23:00:00Z,1.4,-0.9
DK1595,2026-04-12T17:00:00Z,0.0,6.2
DK1084,2025-09-23T11:00:00Z,63.8,16.6
DK1308,2026-05-14T11:00:00Z,0.0,10.7
DK1441,2026-01-31T17:00:00Z,0.0,-3.9
DK1539,2025-04-06T11:00:00Z,3.7,10.2
DK1665,2025-12-11T23:00:00Z,15.0,-2.4
DK1301,2026-05-28T17:00:00Z,0.8,9.8
DK1154,2025-03-09T05:00:00Z,1.2,-1.9
DK1441,2025-08-28T05:00:00Z,0.6,16.8
DK1294,2025-05-16T17:00:00Z,0.0,12.5
DK1756,2025-08-30T17:00:00Z,0.0,16.9
DK1084,2025-02-22T23:00:00Z,0.0,3.8
DK1203,2025-02-24T17:00:00Z,0.0,1.8
DK1483,2025-08-24T17:00:00Z,10.5,18.5
DK1826,2026-01-09T23:00:00Z,0.3,-2.7
DK1518,2025-07-27T17:00:00Z,0.0,14.1
DK1154,2025-10-27T23:00:00Z,0.0,6.9
DK1238,2025-10-18T23:00:00Z,0.6,7.1
DK1532,2025-11-10T11:00:00Z,0.0,9.0
DK1777,2025-12-28T11:00:00Z,2.7,3.4
DK1721,2025-02-22T11:00:00Z,4.6,3.4
DK1525,2025-06-16T23:00:00Z,0.0,15.2
DK1616,2025-06-14T23:00:00Z,-9999.0,11.6
DK1098,2026-06-23T17:00:00Z,3.3,15.5
DK1798,2026-02-14T17:00:00Z,0.0,4.0
DK1154,2025-09-07T05:00:00Z,9.8,18.1
DK1623,2026-04-18T11:00:00Z,0.0,9.6
DK1532,2025-07-22T23:00:00Z,0.0,18.9
DK1350,2025-01-02T11:00:00Z,0.0,3.4
DK1728,2025-05-05T05:00:00Z,0.5,9.5
DK1749,2026-03-01T17:00:00Z,0.0,6.0
DK1056,2026-02-28T11:00:00Z,0.0,3.6
DK1693,2025-01-02T23:00:00Z,0.0,-1.8
DK1336,2025-10-11T05:00:00Z,0.0,6.9
DK1469,2025-09-26T23:00:00Z,0.0,11.4
DK1147,2025-03-16T23:00:00Z,0.0,-0.0
DK1336,2026-03-18T17:00:00Z,0.0,8.2
DK1077,2026-06-25T05:00:00Z,0.0,19.3
DK1700,2026-05-01T05:00:00Z,0.0,11.0
DK1511,2026-04-19T05:00:00Z,11.9,8.5
DK1385,2025-01-06T05:00:00Z,2.9,-2.7
DK1581,2025-01-10T05:00:00Z,0.0,-3.1
DK1357,2025-02-23T17:00:00Z,14.4,0.5
DK1189,2025-03-25T11:00:00Z,0.4,6.2
DK1343,2025-06-16T23:00:00Z,0.9,17.4
DK1483,2025-09-12T23:00:00Z,6.6,13.6
DK1189,2026-04-16T05:00:00Z,0.0,7.0
DK1497,2026-03-10T05:00:00Z,0.0,0.9
DK1336,2025-07-09T17:00:00Z,0.0,19.4
DK1000,2026-05-20T05:00:00Z,0.0,11.0
DK1812,2025-12-07T17:00:00Z,0.0,4.0
DK1392,2025-05-17T05:00:00Z,1.3,10.1
DK1693,2025-04-28T17:00:00Z,1.2,8.4
DK1721,2026-02-24T23:00:00Z,0.0,-2.7
DK1665,2025-07-08T17:00:00Z,0.0,21.0
DK1140,2025-10-02T11:00:00Z,0.0,15.9
DK1672,2025-04-06T05:00:00Z,0.8,4.2
DK1742,2025-01-16T23:00:00Z,0.0,-0.6
DK1259,2025-05-06T11:00:00Z,0.0,14.3
DK1140,2025-04-30T11:00:00Z,0.8,13.5
DK1406,2025-05-26T11:00:00Z,0.0,15.7
DK1623,2025-06-02T17:00:00Z,4.8,15.6
DK1203,2026-04-04T05:00:00Z,1.4,5.3
DK1105,2025-12-29T11:00:00Z,3.2,4.1
DK1560,2025-01-20T23:00:00Z,0.0,-3.3
DK1189,2025-09-07T11:00:00Z,0.0,15.0
DK1819,2026-05-02T17:00:00Z,-999.0,8.0
DK1511,2026-03-06T05:00:00Z,0.4,4.9
DK1140,2025-04-26T17:00:00Z,0.3,10.0
DK1042,2026-05-25T05:00:00Z,0.0,14.3
DK1455,2026-01-17T11:00:00Z,0.0,4.8
DK1098,2026-05-08T17:00:00Z,0.0,5.0
DK1084,2025-01-30T23:00:00Z,0.0,-2.2
DK1693,2025-07-16T17:00:00Z,18.5,15.8
DK1434,2026-03-07T11:00:00Z,0.0,6.8
DK1665,2025-03-25T23:00:00Z,-999.0,-0.7
DK1756,2025-07-23T05:00:00Z,0.0,16.2
DK1231,2025-11-10T23:00:00Z,0.0,6.1
DK1238,2025-11-30T17:00:00Z,5.2,4.7
DK1322,2025-09-09T05:00:00Z,0.0,11.8
DK1364,2025-05-25T17:00:00Z,3.8,10.0
DK1707,2025-05-31T11:00:00Z,0.3,14.1
DK1238,2026-06-16T11:00:00Z,0.0,19.5
DK1217,2025-06-03T05:00:00Z,0.1,16.8
DK1273,2025-12-18T17:00:00Z,0.0,4.9
DK1518,2025-09-24T05:00:00Z,0.0,7.4
DK1308,2025-08-04T11:00:00Z,0.0,16.8
DK1553,2025-01-17T11:00:00Z,0.0,0.2
DK1763,2026-02-25T17:00:00Z,3.4,1.4
DK1049,2026-01-20T17:00:00Z,0.0,-2.6
DK1154,2026-03-22T05:00:00Z,2.1,-0.6
DK1350,2025-11-17T11:00:00Z,0.0,5.0
DK1644,2026-02-24T11:00:00Z,0.0,7.0
DK1749,2026-02-16T23:00:00Z,0.8,-1.5
DK1812,2025-10-01T17:00:00Z,0.0,18.0
DK1322,2025-09-21T17:00:00Z,0.0,15.4
DK1721,2026-04-06T11:00:00Z,0.0,10.2
DK1035,2025-02-07T23:00:00Z,0.9,0.4
DK1070,2025-12-21T17:00:00Z,0.0,-1.9
DK1042,2026-04-20T11:00:00Z,0.0,11.0
DK1441,2025-10-06T05:00:00Z,0.0,7.4
DK1588,2026-01-28T23:00:00Z,54.2,-1.9
DK1805,2025-08-26T23:00:00Z,0.0,12.7
DK1322,2025-12-24T23:00:00Z,0.0,-5.5
DK1112,2025-01-21T17:00:00Z,0.0,-1.6
DK1833,2025-06-14T17:00:00Z,0.0,15.9
DK1147,2025-11-29T05:00:00Z,53.8,0.4
DK1259,2025-03-24T05:00:00Z,1.0,2.2
DK1497,2025-09-28T05:00:00Z,23.4,11.9
DK1448,2025-10-08T17:00:00Z,0.0,12.0
DK1238,2026-03-27T23:00:00Z,0.0,2.3
DK1532,2025-07-04T17:00:00Z,0.0,19.1
DK1035,2026-01-08T17:00:00Z,0.0,-1.9
DK1798,2025-07-05T11:00:00Z,0.0,16.1
DK1504,2025-08-23T11:00:00Z,0.0,18.5
DK1574,2025-12-05T05:00:00Z,0.0,2.5
DK1476,2025-09-28T23:00:00Z,0.0,9.2
DK1014,2025-09-16T23:00:00Z,0.0,10.9
DK1427,2025-02-16T17:00:00Z,0.0,-0.8
DK1413,2026-02-15T05:00:00Z,4.4,-1.0
DK1119,2025-04-26T17:00:00Z,0.0,7.1
DK1644,2026-01-17T05:00:00Z,7.2,0.8
DK1084,2026-01-17T17:00:00Z,4.6,-3.5
DK1119,2025-09-10T11:00:00Z,24.5,11.0
DK1525,2026-03-28T17:00:00Z,2.9,7.7
DK1651,2025-02-04T17:00:00Z,1.6,0.8
DK1392,2025-11-30T17:00:00Z,0.0,2.2
DK1609,2025-08-09T17:00:00Z,0.0,17.2
DK1756,2025-02-11T05:00:00Z,2.3,-2.1
DK1497,2025-12-09T23:00:00Z,0.0,1.1
DK1259,2025-11-25T05:00:00Z,0.0,1.8
DK1469,2025-03-02T17:00:00Z,0.0,6.9
DK1077,2025-08-11T05:00:00Z,1.2,10.1
DK1693,2025-09-11T05:00:00Z,-999.0,12.6
DK1490,2026-03-17T05:00:00Z,0.0,3.2
DK1490,2026-03-16T05:00:00Z,0.4,5.6
DK1574,2025-05-29T17:00:00Z,0.0,15.4
DK1588,2025-09-23T05:00:00Z,0.0,14.6
DK1406,2025-03-19T11:00:00Z,11.3,2.2
DK1686,2026-05-25T23:00:00Z,0.0,12.2
DK1525,2025-02-06T23:00:00Z,0.0,-1.3
DK1231,2025-10-07T05:00:00Z,0.0,12.8
DK1357,2025-06-07T17:00:00Z,3.7,16.4
DK1476,2025-01-31T23:00:00Z,0.6,2.3
DK1294,2025-01-11T05:00:00Z,1.6,-1.1
DK1602,2025-07-17T17:00:00Z,0.0,18.1
DK1420,2025-02-03T05:00:00Z,0.0,-3.4
DK1735,2025-12-25T17:00:00Z,9.4,2.6
DK1805,2025-02-04T17:00:00Z,0.0,2.4
DK1329,2025-11-10T17:00:00Z,3.1,6.0
DK1588,2026-03-19T05:00:00Z,0.0,7.2
DK1217,2025-04-09T17:00:00Z,-999.0,10.8
DK1315,2025-03-24T17:00:00Z,0.0,1.6
DK1721,2026-05-17T05:00:00Z,0.3,13.9
DK1714,2026-06-27T05:00:00Z,0.3,14.2
DK1217,2025-09-06T17:00:00Z,0.0,13.1
DK1245,2026-06-13T17:00:00Z,0.0,18.8
DK1777,2025-02-16T23:00:00Z,0.0,-0.7
DK1427,2026-03-18T17:00:00Z,2.2,7.6
DK1266,2026-03-07T11:00:00Z,0.0,1.3
DK1553,2026-05-24T17:00:00Z,1.8,14.0
DK1742,2025-08-19T11:00:00Z,4.5,15.6
DK1714,2025-07-21T17:00:00Z,1.2,14.9
DK1252,2025-03-23T05:00:00Z,0.0,3.0
DK1770,2026-05-18T23:00:00Z,0.0,6.5
DK1567,2025-11-27T23:00:00Z,0.0,3.2
DK1175,2025-09-07T11:00:00Z,0.0,16.1
DK1525,2026-02-20T11:00:00Z,0.0,5.9
DK1224,2025-04-08T17:00:00Z,0.0,4.4
DK1623,2025-11-18T23:00:00Z,0.0,-3.1
DK1378,2025-04-10T05:00:00Z,0.0,6.9
DK1315,2025-03-17T05:00:00Z,0.0,5.5
DK1497,2026-03-28T23:00:00Z,4.9,4.8
DK1819,2026-06-16T05:00:00Z,0.5,12.7
DK1070,2025-05-19T05:00:00Z,0.0,12.5
DK1042,2025-03-02T23:00:00Z,0.0,-0.8
DK1742,2026-05-07T17:00:00Z,0.4,6.2
DK1511,2026-05-28T23:00:00Z,1.7,12.2
DK1126,2025-01-08T17:00:00Z,0.0,0.7
DK1035,2025-06-08T23:00:00Z,0.2,9.3
DK1252,2026-05-16T23:00:00Z,0.0,11.5
DK1168,2026-05-31T05:00:00Z,1.8,14.5
DK1000,2025-10-23T23:00:00Z,0.0,2.6
DK1777,2025-12-17T17:00:00Z,5.1,-2.1
DK1189,2025-03-17T11:00:00Z,0.0,5.4
DK1350,2026-01-04T05:00:00Z,0.0,-1.1
DK1098,2025-02-02T17:00:00Z,0.2,-9.7
DK1322,2026-04-26T17:00:00Z,0.6,11.2
DK1196,2025-09-09T17:00:00Z,0.4,13.7
DK1357,2025-10-29T23:00:00Z,0.0,8.9
DK1315,2025-09-13T05:00:00Z,0.0,11.7
DK1588,2025-05-15T11:00:00Z,0.0,12.2
DK1399,2025-01-07T17:00:00Z,0.0,0.3
DK1196,2025-06-29T17:00:00Z,0.0,15.8
DK1007,2025-02-02T11:00:00Z,0.0,-0.8
DK1084,2025-08-20T05:00:00Z,0.0,18.1
DK1651,2025-05-06T11:00:00Z,0.0,11.6
DK1301,2025-02-28T17:00:00Z,2.8,7.0
DK1714,2025-06-06T11:00:00Z,4.7,18.0
DK1364,2025-07-15T11:00:00Z,2.4,20.6
DK1007,2026-02-20T17:00:00Z,1.9,1.9
DK1637,2025-07-11T05:00:00Z,0.0,17.1
DK1413,2026-06-11T17:00:00Z,4.5,12.5
DK1595,2025-12-26T23:00:00Z,0.0,-1.8
DK1021,2025-11-25T23:00:00Z,3.2,2.9
DK1217,2025-12-25T23:00:00Z,0.0,-4.4
DK1294,2025-01-14T23:00:00Z,0.0,-1.7
DK1049,2026-03-18T11:00:00Z,0.0,5.1
DK1672,2025-10-19T23:00:00Z,3.7,5.7
DK1014,2026-02-28T11:00:00Z,0.0,7.2
DK1329,2026-04-11T23:00:00Z,0.0,6.1
DK1567,2025-11-14T17:00:00Z,0.0,5.3
DK1455,2026-02-18T17:00:00Z,11.9,5.5
DK1623,2026-06-07T23:00:00Z,0.0,13.0
DK1203,2025-02-06T05:00:00Z,1.3,1.0
DK1658,2025-02-20T17:00:00Z,0.0,-2.3
DK1735,2025-07-29T11:00:00Z,0.0,17.0
DK1378,2025-04-13T17:00:00Z,0.0,9.9
