station_id,station_name,lat,lon,valid_from,valid_to
DK1434,Station DK1434,55.640789,12.391085,2025-01-01,
DK1686,Station DK1686,55.780553,12.020641,2025-01-01,
DK1175,Station DK1175,55.985008,12.562845,2025-01-01,
DK1455,Station DK1455,56.512436,9.952019,2025-01-01,
DK1497,Station DK1497,55.613233,12.318724,2025-01-01,
DK1084,Station DK1084,56.489830,9.174582,2025-01-01,
DK1126,Station DK1126,56.520723,9.735297,2025-01-01,
DK1210,Station DK1210,56.383545,9.666292,2025-01-01,
DK1595,Station DK1595,55.559967,12.470287,2025-01-01,2025-11-03
DK1378,Station DK1378,55.426376,11.594647,2025-01-01,
DK1266,Station DK1266,56.289168,9.353174,2025-01-01,
DK1336,Station DK1336,55.526953,11.641956,2025-01-01,
DK1476,Station DK1476,57.437327,10.343430,2025-01-01,
DK1021,Station DK1021,56.679976,9.032901,2025-01-01,
DK1672,Station DK1672,55.648927,12.595227,2025-01-01,
DK1763,Station DK1763,55.680724,12.307960,2025-01-01,
DK1259,Station DK1259,55.637740,11.834357,2025-01-01,
DK1560,Station DK1560,55.177086,10.350401,2025-01-01,2026-01-21
DK1749,Station DK1749,55.178966,11.254161,2025-01-01,
DK1196,Station DK1196,55.704647,12.514947,2025-01-01,
DK1245,Station DK1245,56.970003,10.108614,2025-01-01,
DK1301,Station DK1301,56.122258,9.880254,2025-01-01,
DK1427,Station DK1427,55.686392,11.136748,2025-01-01,
DK1028,Station DK1028,55.675597,12.570088,2025-01-01,
DK1168,Station DK1168,57.579624,9.974150,2025-01-01,
DK1462,Station DK1462,55.778518,12.207674,2025-01-01,
DK1518,Station DK1518,55.620599,12.491654,2025-01-01,
DK1539,Station DK1539,55.307726,10.519157,2025-01-01,
DK1602,Station DK1602,55.685439,12.609688,2025-01-01,
DK1000,Station DK1000,55.776366,12.556982,2025-01-01,
DK1588,Station DK1588,55.879911,11.968849,2025-01-01,
DK1581,Station DK1581,55.732317,12.432374,2025-01-01,
DK1252,Station DK1252,56.375758,9.833499,2025-01-01,
DK1728,Station DK1728,54.986848,9.621075,2025-01-01,
DK1049,Station DK1049,56.127124,8.851181,2025-01-01,
DK1574,Station DK1574,55.758524,9.151572,2025-01-01,
DK1525,Station DK1525,55.917500,10.319856,2025-01-01,
DK1224,Station DK1224,55.744190,11.200179,2025-01-01,
DK1406,Station DK1406,55.600598,11.382976,2025-01-01,
DK1280,Station DK1280,55.300189,8.671190,2025-01-01,
DK1091,Station DK1091,55.896356,12.608153,2025-01-01,
DK1161,Station DK1161,55.216889,12.132726,2025-01-01,
DK1119,Station DK1119,55.798680,11.463790,2025-01-01,
DK1812,Station DK1812,56.121199,9.917135,2025-01-01,
DK1798,Station DK1798,55.551965,12.614528,2025-01-01,
DK1287,Station DK1287,55.696440,12.516828,2025-01-01,
DK1770,Station DK1770,55.979469,12.576116,2025-01-01,
DK1567,Station DK1567,56.192111,8.882947,2025-01-01,
DK1504,Station DK1504,55.593688,12.533202,2025-01-01,
